GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE
Shot Chart Detail,0022100045,32,1630532,Franz Wagner,1610612753,Orlando Magic,1,9,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,183,195,1,1,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,178,1630532,Franz Wagner,1610612753,Orlando Magic,2,10,45,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,185,1630532,Franz Wagner,1610612753,Orlando Magic,2,10,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,168,213,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,212,1630532,Franz Wagner,1610612753,Orlando Magic,2,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-185,182,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,237,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,48,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,59,1,1,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,240,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-55,279,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,250,1630532,Franz Wagner,1610612753,Orlando Magic,2,5,7,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,263,1630532,Franz Wagner,1610612753,Orlando Magic,2,4,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-194,176,1,1,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,287,1630532,Franz Wagner,1610612753,Orlando Magic,2,2,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,178,189,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,332,1630532,Franz Wagner,1610612753,Orlando Magic,3,11,46,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-39,90,1,1,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,362,1630532,Franz Wagner,1610612753,Orlando Magic,3,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,100,235,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100045,567,1630532,Franz Wagner,1610612753,Orlando Magic,4,6,27,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-43,90,1,0,20211025,MIA,ORL,2021-22,R
Shot Chart Detail,0022100055,53,1630532,Franz Wagner,1610612753,Orlando Magic,1,7,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,63,1630532,Franz Wagner,1610612753,Orlando Magic,1,7,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-128,229,1,1,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,229,1630532,Franz Wagner,1610612753,Orlando Magic,2,7,28,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,1,1,1,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,245,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,53,256,1,1,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,328,1630532,Franz Wagner,1610612753,Orlando Magic,3,11,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,1,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,564,1630532,Franz Wagner,1610612753,Orlando Magic,4,6,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-15,84,1,0,20211027,ORL,CHA,2021-22,R
Shot Chart Detail,0022100055,576,1630532,Franz Wagner,1610612753,Orlando Magic,4,4,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-10,274,1,0,20211027,ORL,CHA,2021-22,R
