video,GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
https://videos.nba.com/nba/pbp/media/2021/10/25/0022100045/567/c4be93e5-dc6a-9d5d-6c1e-e027f7709e78,22100045,567,4,Floating Jump shot,2,9,-0.00011797341787586879,-0.00024692110718205093,0,25.10.2021,MIA,ORL,2021-22,R,06:27
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/53/267ef048-7087-b83d-1fbc-a28329f48f12,22100055,53,1,Driving Finger Roll Layup Shot,2,1,2.4692110718205095e-05,-4.3897085721253504e-05,1,27.10.2021,ORL,CHA,2021-22,R,07:52
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/63/9d7c9cfd-627e-d44b-1322-bab26e01caf5,22100055,63,1,Jump Shot,3,26,-0.00035117668577002803,-0.0006282770393854408,1,27.10.2021,ORL,CHA,2021-22,R,07:18
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/229/190928fc-1fb6-b906-4b3d-ead7dc720f7a,22100055,229,2,Jump Shot,3,22,-0.0006145592000975491,-2.743567857578344e-06,1,27.10.2021,ORL,CHA,2021-22,R,07:28
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/245/b0820d74-0d71-a27b-41cb-2918a2730ebf,22100055,245,2,Jump Shot,3,26,0.00014540909645165224,-0.0007023533715400561,1,27.10.2021,ORL,CHA,2021-22,R,06:02
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/328/18e0f17a-6fa0-1f2a-5fae-0a1701165659,22100055,328,3,Driving Finger Roll Layup Shot,2,1,-1.920497500304841e-05,-3.566638214851847e-05,1,27.10.2021,ORL,CHA,2021-22,R,11:35
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/564/30731642-e8b3-f957-556f-429900ca172f,22100055,564,4,Driving Floating Jump Shot,2,8,-4.115351786367516e-05,-0.0002304597000365809,0,27.10.2021,ORL,CHA,2021-22,R,06:10
https://videos.nba.com/nba/pbp/media/2021/10/27/0022100055/576/bd5f40e9-211b-eac3-8f04-3a7bb7fd49e2,22100055,576,4,Jump Shot,3,27,-2.7435678575783438e-05,-0.0007517375929764663,0,27.10.2021,ORL,CHA,2021-22,R,04:32
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/10/6db2a236-3c66-5cdd-7f3b-468068919360,22100071,10,1,Jump Shot,3,22,0.0006255334715278624,-7.681990001219364e-05,0,29.10.2021,TOR,ORL,2021-22,R,11:26
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/14/0cf030bb-a763-893d-4c13-f2d2988c45eb,22100071,14,1,Turnaround Jump Shot,2,6,-0.00010699914644555541,-0.0001563833678819656,0,29.10.2021,TOR,ORL,2021-22,R,10:56
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/41/9cec4c09-a4f7-91a3-5344-f46a62647498,22100071,41,1,Driving Layup Shot,2,3,-8.779417144250701e-05,-3.2922814290940124e-05,0,29.10.2021,TOR,ORL,2021-22,R,08:36
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/287/8e787f99-22d3-eccb-f57d-5f8e00e9e7de,22100071,287,2,Driving Finger Roll Layup Shot,2,2,6.035849286672356e-05,1.0974271430313376e-05,0,29.10.2021,TOR,ORL,2021-22,R,01:35
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/321/64f545ce-a422-08b7-8b02-d0d7737e86a0,22100071,321,3,Driving Hook Shot,2,4,7.681990001219364e-05,-7.956346786977197e-05,0,29.10.2021,TOR,ORL,2021-22,R,11:39
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/330/1eb4c2e6-0efc-4e32-f356-b2d98daf1528,22100071,330,3,Driving Hook Shot,2,5,5.4871357151566876e-05,-0.0001316912571637605,1,29.10.2021,TOR,ORL,2021-22,R,10:36
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/360/fa94b45f-cb0a-11bd-ec04-d7faaec37e60,22100071,360,3,Running Layup Shot,2,6,2.743567857578344e-06,-0.0001810754786001707,0,29.10.2021,TOR,ORL,2021-22,R,07:50
